AAA028I14.genome.CDS.1375,group00992
AAA028I14.genome.CDS.1376,group00930
AAA028I14.genome.CDS.818,group00177
AAA028I14.genome.CDS.1370,group00246
AAA028I14.genome.CDS.1295,group00456
AAA028I14.genome.CDS.1372,group00548
AAA028I14.genome.CDS.50,group02030
AAA028I14.genome.CDS.1294,group00476
AAA028I14.genome.CDS.798,group01407
AAA028I14.genome.CDS.799,group02379
AAA028I14.genome.CDS.845,group00583
AAA028I14.genome.CDS.794,group04610
AAA028I14.genome.CDS.1293,group00189
AAA028I14.genome.CDS.796,group02577
AAA028I14.genome.CDS.797,group01458
AAA028I14.genome.CDS.1292,group00047
AAA028I14.genome.CDS.1563,group00331
AAA028I14.genome.CDS.1290,group00836
AAA028I14.genome.CDS.1277,group00308
AAA028I14.genome.CDS.1275,group01882
AAA028I14.genome.CDS.1274,group00574
AAA028I14.genome.CDS.1178,group00412
AAA028I14.genome.CDS.1276,group00536
AAA028I14.genome.CDS.1271,group01406
AAA028I14.genome.CDS.1270,group00839
AAA028I14.genome.CDS.1273,group01063
AAA028I14.genome.CDS.1272,group00692
AAA028I14.genome.CDS.1172,group00954
AAA028I14.genome.CDS.1173,group04629
AAA028I14.genome.CDS.1170,group02689
AAA028I14.genome.CDS.1171,group01995
AAA028I14.genome.CDS.1279,group00025
AAA028I14.genome.CDS.1278,group00888
AAA028I14.genome.CDS.1174,group00182
AAA028I14.genome.CDS.1175,group00075
AAA028I14.genome.CDS.1441,group04653
AAA028I14.genome.CDS.1230,group00481
AAA028I14.genome.CDS.1446,group04647
AAA028I14.genome.CDS.1568,group00498
AAA028I14.genome.CDS.1112,group00439
AAA028I14.genome.CDS.1113,group01009
AAA028I14.genome.CDS.919,group00472
AAA028I14.genome.CDS.1176,group00190
AAA028I14.genome.CDS.998,group01181
AAA028I14.genome.CDS.1177,group00296
AAA028I14.genome.CDS.1309,group00196
AAA028I14.genome.CDS.1308,group00295
AAA028I14.genome.CDS.876,group00324
AAA028I14.genome.CDS.1301,group00193
AAA028I14.genome.CDS.1300,group00591
AAA028I14.genome.CDS.1303,group00086
AAA028I14.genome.CDS.1302,group00188
AAA028I14.genome.CDS.939,group00015
AAA028I14.genome.CDS.1304,group00084
AAA028I14.genome.CDS.1307,group00334
AAA028I14.genome.CDS.979,group04681
AAA028I14.genome.CDS.1415,group02302
AAA028I14.genome.CDS.4,group02555
AAA028I14.genome.CDS.1086,group00458
AAA028I14.genome.CDS.1518,group01583
AAA028I14.genome.CDS.970,group00489
AAA028I14.genome.CDS.1127,group00488
AAA028I14.genome.CDS.971,group00733
AAA028I14.genome.CDS.1089,group00908
AAA028I14.genome.CDS.633,group04650
AAA028I14.genome.CDS.1002,group00073
AAA028I14.genome.CDS.1003,group01096
AAA028I14.genome.CDS.1000,group01244
AAA028I14.genome.CDS.1001,group01632
AAA028I14.genome.CDS.1006,group02684
AAA028I14.genome.CDS.1007,group01174
AAA028I14.genome.CDS.1004,group01751
AAA028I14.genome.CDS.1005,group01227
AAA028I14.genome.CDS.1008,group01511
AAA028I14.genome.CDS.1009,group00866
AAA028I14.genome.CDS.1439,group02563
AAA028I14.genome.CDS.1438,group02564
AAA028I14.genome.CDS.1433,group00209
AAA028I14.genome.CDS.1432,group00511
AAA028I14.genome.CDS.1431,group00171
AAA028I14.genome.CDS.1430,group00008
AAA028I14.genome.CDS.1437,group02565
AAA028I14.genome.CDS.1436,group00039
AAA028I14.genome.CDS.1435,group00087
AAA028I14.genome.CDS.1434,group00103
AAA028I14.genome.CDS.1488,group02062
AAA028I14.genome.CDS.1489,group02571
AAA028I14.genome.CDS.1486,group02569
AAA028I14.genome.CDS.1487,group02570
AAA028I14.genome.CDS.1484,group02567
AAA028I14.genome.CDS.1485,group02568
AAA028I14.genome.CDS.1482,group01766
AAA028I14.genome.CDS.1483,group02255
AAA028I14.genome.CDS.1480,group01117
AAA028I14.genome.CDS.1481,group02566
AAA028I14.genome.CDS.1558,group00697
AAA028I14.genome.CDS.1559,group00831
AAA028I14.genome.CDS.916,group01515
AAA028I14.genome.CDS.917,group01941
AAA028I14.genome.CDS.914,group01465
AAA028I14.genome.CDS.915,group01559
AAA028I14.genome.CDS.912,group01013
AAA028I14.genome.CDS.913,group01737
AAA028I14.genome.CDS.910,group00951
AAA028I14.genome.CDS.1508,group01692
AAA028I14.genome.CDS.1507,group04660
AAA028I14.genome.CDS.1506,group02559
AAA028I14.genome.CDS.1505,group02303
AAA028I14.genome.CDS.1504,group02302
AAA028I14.genome.CDS.1503,group02301
AAA028I14.genome.CDS.1502,group01791
AAA028I14.genome.CDS.918,group01370
AAA028I14.genome.CDS.1500,group00906
AAA028I14.genome.CDS.858,group00910
AAA028I14.genome.CDS.857,group00631
AAA028I14.genome.CDS.856,group00071
AAA028I14.genome.CDS.855,group01186
AAA028I14.genome.CDS.854,group00683
AAA028I14.genome.CDS.853,group00686
AAA028I14.genome.CDS.852,group00981
AAA028I14.genome.CDS.851,group01080
AAA028I14.genome.CDS.850,group00017
AAA028I14.genome.CDS.1550,group00665
AAA028I14.genome.CDS.1582,group00415
AAA028I14.genome.CDS.1551,group01597
AAA028I14.genome.CDS.1136,group00261
AAA028I14.genome.CDS.1137,group00031
AAA028I14.genome.CDS.1134,group00719
AAA028I14.genome.CDS.1135,group00599
AAA028I14.genome.CDS.1132,group00235
AAA028I14.genome.CDS.1133,group00200
AAA028I14.genome.CDS.1130,group00413
AAA028I14.genome.CDS.1131,group00414
AAA028I14.genome.CDS.1138,group00405
AAA028I14.genome.CDS.1139,group00989
AAA028I14.genome.CDS.1453,group02574
AAA028I14.genome.CDS.232,group04616
AAA028I14.genome.CDS.69,group01007
AAA028I14.genome.CDS.981,group04680
AAA028I14.genome.CDS.1344,group04639
AAA028I14.genome.CDS.1347,group04638
AAA028I14.genome.CDS.1229,group00804
AAA028I14.genome.CDS.1341,group04641
AAA028I14.genome.CDS.1340,group00263
AAA028I14.genome.CDS.987,group04612
AAA028I14.genome.CDS.986,group04613
AAA028I14.genome.CDS.989,group00426
AAA028I14.genome.CDS.1223,group01248
AAA028I14.genome.CDS.1220,group01168
AAA028I14.genome.CDS.1221,group00482
AAA028I14.genome.CDS.1226,group01493
