contig	BIN_10	MEint3864	MEint885
group00447	1	0	1
group00448	1	0	0
group00449	1	0	0
group00450	1	0	0
group00451	1	1	0
group00452	1	1	1
group00453	0	0	1
group00454	1	1	1
group00455	1	1	1
group00456	1	1	1
group00457	1	1	0
group00458	1	1	1
group00459	1	1	1
group00461	1	1	0
group00464	1	0	1
group00465	1	0	0
group00466	0	0	1
group00467	1	0	0
group00468	1	0	1
group00470	1	0	1
group00471	0	0	1
group00472	0	0	1
group00473	1	1	1
group00474	1	1	1
group00475	1	1	0
group00476	1	1	1
group00477	1	1	0
group00478	1	0	1
group00479	1	1	0
group00480	1	0	0
group00481	1	1	0
group00482	1	1	0
group00483	1	1	1
group00484	1	0	0
group00485	1	1	1
group00486	1	0	1
group00487	1	1	1
group00488	1	1	1
group00491	1	0	1
group00492	1	1	0
group00493	1	0	0
group00495	1	1	0
group00496	1	1	1
group00498	1	1	1
group00499	1	0	1
group00500	0	1	0
group00503	1	1	1
group00504	0	1	0
group00505	0	1	0
group00506	1	1	1
group00507	1	1	1
group00509	1	0	1
group00510	0	1	0
group00511	1	0	0
group00512	1	1	1
group00513	1	1	1
group00514	1	0	0
group00516	1	0	0
group00517	1	0	0
group00518	1	1	0
group00519	1	1	1
group00521	1	1	0
group00522	1	0	1
group00523	1	1	0
group00524	1	0	1
group00525	1	0	0
group00526	1	1	1
group00528	0	0	1
group00529	1	0	0
group00530	1	1	0
group00532	1	0	1
group00533	1	0	1
group00534	1	0	1
group00535	1	0	1
group00536	0	1	1
group00537	1	1	1
group00538	1	1	1
group00539	1	1	1
group00540	1	0	0
group00541	1	0	0
group00542	1	0	1
group00543	1	0	1
group00544	0	1	1
group00545	1	1	1
group00546	1	0	0
group00547	1	0	0
group00548	1	1	1
group00550	1	1	1
group00551	1	1	1
group00552	1	0	1
group00553	1	0	1
group00554	1	0	0
group00555	1	1	0
group00556	1	0	0
group00557	1	0	0
group00558	1	1	0
group00561	1	0	0
group00562	1	1	0
group00563	1	1	1
group00564	1	1	1
group00565	1	1	1
group00566	1	1	1
group00567	1	1	1
group00568	1	0	0
group00569	1	1	0
group00570	1	0	1
group00571	1	1	1
group00572	1	0	1
group00573	1	0	0
group00574	1	0	1
group00575	1	1	1
group00576	1	1	1
group00577	1	0	1
group00578	1	1	1
group00579	1	1	0
group00580	1	1	0
group00582	1	0	0
group00583	1	0	1
