	log2_avg_rpkm
group00201	8.25460926077
group00202	7.70224172066
group00203	7.2254806878
group00204	9.06445481744
group00205	14.063894142
group00206	8.4926489083
group00207	0.0
group00208	0.0
group00210	10.6133124919
group00211	7.66336028239
group00212	8.09637101496
group00213	9.75023041544
group00214	14.8131457703
group00215	9.70950084497
group00216	8.65247532427
group00217	7.80030258682
group00218	9.75684310861
group00219	11.2323784361
group00220	6.91468024688
group00221	11.7928700006
group00222	8.39494048341
group00223	0.0
group00224	7.1644135869
group00225	11.6303766461
group00226	7.83765086804
group00227	6.87100246487
group00228	0.0
group00229	7.78527339074
group00230	6.69083977018
group00231	0.0
group00232	0.0
group00233	8.73380250468
group00234	8.60611933357
group00235	11.4250521816
group00236	0.0
group00237	10.4484938757
group00238	9.37406096446
group00239	11.5649475061
group00240	11.6077354953
group00241	0.0
group00242	9.29477468508
group00243	6.77617029779
group00244	10.3850091595
group00245	10.717740053
group00246	11.7686406724
group00247	7.55454802523
group00248	9.208928795
group00249	8.47104080962
group00250	12.0049888211
group00251	7.01150198707
group00252	8.7014663584
group00253	0.0
group00254	11.3828766757
group00256	13.5349337501
group00257	11.5232762867
group00258	6.75951967985
group00259	7.85408053877
group00260	7.04963200009
group00261	7.33773710938
group00262	10.8511051797
group00263	0.0
group00265	8.21367220657
group00266	7.14693138365
group00267	9.33294951907
group00268	9.94237925067
group00269	11.8115317976
group00270	7.55948979116
group00271	10.1655884355
group00272	14.4038076506
group00273	0.0
group00274	8.71504177556
group00275	10.7527684905
group00276	6.86165153654
group00277	8.90046658534
group00278	11.156417494
group00279	7.90056449395
group00280	12.4120107792
group00281	14.4305245478
group00282	0.0
group00283	8.80241525843
group00284	13.0468944342
group00285	7.78451508052
group00287	5.88705688294
group00289	0.0
group00291	7.51501026178
group00292	9.99267453804
group00293	9.29715418622
group00294	6.87053417471
group00295	12.7634815472
group00296	9.30115228176
group00297	10.9646302936
group00299	7.0402832941
group00300	9.08824785725
group00301	8.59577650269
group00302	0.0
group00303	12.4086800872
group00304	0.0
group00305	7.09203435317
group00306	8.18565114414
group00307	6.30833913181
group00308	8.16955864917
group00309	0.0
group00310	0.0
group00311	0.0
group00312	7.1544398291
group00313	0.0
group00314	8.72496860867
group00315	7.02811643657
group00316	11.2399826078
group00317	7.57860850352
group00318	11.4882866564
group00319	8.33262289668
group00320	7.21404629712
group00321	0.0
group00322	11.1379412589
group00323	10.1980473711
group00324	9.68452265515
group00325	0.0
group00326	11.2898570008
group00327	0.0
group00328	0.0
group00329	12.0774085568
group00330	0.0
group00331	6.73069796138
group00332	5.67854670331
group00333	8.79178358622
group00334	8.94780083767
group00335	10.44960484
group00336	13.2948839287
group00337	6.23751160322
group00338	7.31049903534
group00339	0.0
group00341	0.0
group00342	0.0
group00343	7.599432198
group00344	9.27876661478
group00345	7.66830280781
group00346	10.033008797
group00347	8.36096402461
group00348	9.31702046113
group00349	9.78018941644
group00350	11.9114456944
group00351	7.55915957546
group00352	8.75871796565
group00353	8.0251239881
group00354	7.19649521121
group00355	11.8733723128
group00356	0.0
group00357	10.337173616
group00358	9.45430451507
group00359	0.0
group00360	8.48534089431
group00361	9.6341660574
group00362	8.49035768394
group00363	7.56862503756
group00364	7.09867003671
group00365	7.19146638939
group00366	7.07871814448
group00368	7.15754274867
group00369	0.0
group00370	7.08605070224
group00371	14.0393314903
group00372	8.02092954065
group00373	9.71094401906
group00374	0.0
group00375	7.16495775768
group00376	6.76559569008
group00377	9.6554630453
group00378	9.06537931847
group00379	11.9421629095
group00380	11.8722806403
group00381	10.6698880566
group00382	10.10114714
group00383	10.1446758174
group00384	5.93650564316
group00385	8.08599653268
group00386	0.0
group00387	10.5374711236
group00388	12.7381896079
group00389	6.72807863644
group00390	7.91566294828
group00391	10.0085295415
group00392	12.4036260429
group00393	7.46279990645
group00394	7.14000377042
group00396	8.94227251153
group00397	8.11414465241
group00398	10.0018385061
group00399	0.0
group00400	8.42109684966
group00401	0.0
group00402	0.0
group00403	8.94444506635
group00404	14.6386014226
